Landmark,Frame,X,Y
39,5.0,351,281
39,6.0,351,281
39,7.0,351,280
39,8.0,352,282
39,9.0,352,282
39,10.0,352,282
39,11.0,353,283
39,12.0,353,283
39,13.0,354,282
39,14.0,353,281
39,15.0,355,279
39,16.0,354,279
39,17.0,355,277
39,18.0,355,277
39,19.0,356,276
39,20.0,356,275
39,21.0,356,275
39,22.0,356,275
39,23.0,356,275
39,24.0,355,275
39,25.0,352,276
39,26.0,353,275
39,27.0,352,276
39,28.0,352,275
39,29.0,353,277
37,1.0,369,276
37,2.0,369,278
37,3.0,367,275
37,4.0,367,276
37,5.0,367,275
37,6.0,367,275
37,7.0,367,274
37,8.0,368,277
37,9.0,368,277
37,10.0,368,277
37,11.0,369,278
37,12.0,369,278
37,13.0,370,276
37,14.0,369,276
37,15.0,371,274
37,16.0,370,274
37,17.0,371,272
37,18.0,371,271
37,19.0,372,270
37,20.0,372,270
37,21.0,372,270
37,22.0,372,270
37,23.0,372,270
37,24.0,371,270
37,25.0,368,270
37,26.0,369,270
37,27.0,367,271
37,28.0,367,270
37,29.0,368,272
0,1.0,385,277
0,2.0,385,278
0,3.0,382,276
0,4.0,382,276
0,5.0,382,276
0,6.0,383,276
0,7.0,383,275
0,8.0,383,277
0,9.0,383,278
0,10.0,383,277
0,11.0,385,279
0,12.0,385,279
0,13.0,386,277
0,14.0,385,277
0,15.0,387,275
0,16.0,386,275
0,17.0,387,273
0,18.0,386,272
0,19.0,388,271
0,20.0,387,271
0,21.0,388,271
0,22.0,388,271
0,23.0,387,271
0,24.0,387,271
0,25.0,383,271
0,26.0,384,271
0,27.0,382,272
0,28.0,382,271
0,29.0,383,273
267,1.0,400,274
267,2.0,399,276
267,3.0,397,273
267,4.0,398,274
267,5.0,398,274
267,6.0,398,273
267,7.0,398,272
267,8.0,399,275
267,9.0,399,275
267,10.0,399,275
267,11.0,400,276
267,12.0,400,276
267,13.0,401,275
267,14.0,401,274
267,15.0,402,272
267,16.0,401,273
267,17.0,402,270
267,18.0,402,270
267,19.0,403,268
267,20.0,403,268
267,21.0,403,268
267,22.0,403,268
267,23.0,402,268
267,24.0,402,268
267,25.0,398,269
267,26.0,399,268
267,27.0,397,270
267,28.0,397,269
267,29.0,397,271
269,1.0,414,278
269,2.0,414,280
269,3.0,413,277
269,4.0,413,278
269,5.0,413,277
269,6.0,413,277
269,7.0,413,277
269,8.0,413,279
269,9.0,414,279
269,10.0,414,279
269,11.0,415,280
269,12.0,415,280
269,13.0,417,279
269,14.0,416,278
269,15.0,417,276
269,16.0,416,277
269,17.0,417,274
269,18.0,416,274
269,19.0,418,272
269,20.0,417,273
269,21.0,418,272
269,22.0,418,273
269,23.0,417,273
269,24.0,416,273
269,25.0,413,273
269,26.0,413,273
269,27.0,412,274
269,28.0,412,274
269,29.0,412,275
270,1.0,423,284
270,2.0,422,286
270,3.0,421,283
270,4.0,422,283
270,5.0,421,283
270,6.0,422,283
270,7.0,422,283
270,8.0,422,285
270,9.0,422,285
270,10.0,422,285
270,11.0,423,286
270,12.0,424,286
270,13.0,425,284
270,14.0,424,284
270,15.0,425,282
270,16.0,424,282
270,17.0,426,280
270,18.0,425,280
270,19.0,426,278
270,20.0,426,279
270,21.0,426,278
270,22.0,426,279
270,23.0,425,279
270,24.0,425,279
270,25.0,422,279
270,26.0,422,279
270,27.0,420,280
270,28.0,421,280
270,29.0,420,280
409,1.0,429,290
409,2.0,428,291
409,3.0,428,289
409,4.0,428,289
409,5.0,428,289
409,6.0,428,289
409,7.0,428,289
409,8.0,428,290
409,9.0,428,290
409,10.0,428,290
409,11.0,430,291
409,12.0,430,291
409,13.0,431,290
409,14.0,430,289
409,15.0,431,287
409,16.0,430,288
409,17.0,432,285
409,18.0,431,285
409,19.0,432,284
409,20.0,432,284
409,21.0,432,284
409,22.0,432,284
409,23.0,431,284
409,24.0,431,284
409,25.0,428,285
409,26.0,428,284
409,27.0,427,285
409,28.0,427,285
409,29.0,427,285
291,1.0,432,297
291,2.0,432,298
291,3.0,432,296
291,4.0,432,296
291,5.0,432,297
291,6.0,432,297
291,7.0,432,297
291,8.0,432,299
291,9.0,432,299
291,10.0,432,298
291,11.0,433,299
291,12.0,434,299
291,13.0,435,297
291,14.0,434,296
291,15.0,435,295
291,16.0,434,295
291,17.0,436,293
291,18.0,434,293
291,19.0,436,292
291,20.0,436,292
291,21.0,436,292
291,22.0,436,292
291,23.0,435,292
291,24.0,435,292
291,25.0,431,292
291,26.0,431,291
291,27.0,430,291
291,28.0,430,291
291,29.0,430,291
78,1.0,340,301
78,2.0,341,303
78,3.0,339,301
78,4.0,339,302
78,5.0,339,302
78,6.0,339,302
78,7.0,340,302
78,8.0,341,303
78,9.0,340,303
78,10.0,340,303
78,11.0,339,303
78,12.0,339,303
78,13.0,340,302
78,14.0,339,301
78,15.0,341,299
78,16.0,340,298
78,17.0,341,297
78,18.0,341,296
