Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
375,407,334,407,334,407,335,405,336,406,336,407,336,407,336,407,336,407,335,407,335,406,335,406,335,405,335,405,335,405,335,405,335,405,334,405,335,405,337,405,337,406,339,405,339,405,340,405,339,405,339,405,339,404,338,404,338,403,338,403,338,402,340,403,340,401,341,402,341,402,342,403,342,402,342,402,342,402,342,402,342,402,342,402,343,402,341,402,342,403,339,403,339,404,337,403,337,403,336,404,336,405,335,404,335,404,332,405,333,403,331
291,412,327,411,327,411,328,409,329,410,330,411,329,412,329,411,329,411,329,411,328,410,328,410,329,409,329,409,329,409,328,409,328,409,328,409,328,409,328,408,329,409,329,408,330,408,330,408,330,408,330,408,330,407,329,407,329,406,329,406,328,404,330,406,330,404,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,329,406,328,406,327,406,327,406,326,406,326,408,326,408,325,408,324,408,325,407,324
61,302,334,303,334,302,335,302,336,302,336,303,337,303,336,303,337,302,335,303,335,303,335,303,335,303,335,303,335,303,335,303,335,302,335,302,335,304,336,304,336,302,335,302,337,301,337,302,337,302,337,302,337,302,336,303,337,303,335,304,335,303,335,302,336,303,336,304,337,305,337,305,338,303,337,303,337,302,337,302,337,302,338,302,338,303,338,302,337,302,335,302,335,301,334,302,334,302,333,302,333,300,333,301,332,301,331,302,332,301,331
185,306,327,307,327,305,328,305,329,305,330,306,330,306,330,306,330,306,329,307,328,307,328,306,329,306,329,306,329,306,329,306,329,306,328,305,328,307,327,307,327,306,326,305,327,305,327,305,327,305,327,305,328,306,327,306,328,306,326,307,325,307,325,306,326,306,327,307,327,308,328,308,328,306,327,307,327,305,328,305,327,306,328,306,328,306,328,305,327,306,325,305,325,305,324,305,324,305,324,305,324,304,324,304,324,305,324,305,324,304,325
40,314,322,314,321,312,322,313,324,313,324,314,324,314,324,314,324,314,323,314,322,314,323,314,323,314,323,314,323,314,323,314,323,313,322,313,322,314,320,314,320,312,318,312,320,312,320,312,320,312,320,312,320,313,320,313,320,313,318,313,317,313,317,312,318,312,318,313,319,314,320,314,320,312,320,313,320,312,320,311,320,312,321,312,320,312,320,312,320,312,317,312,317,311,317,312,317,312,316,312,316,311,317,311,317,312,317,312,318,311,319
39,324,315,324,314,322,314,322,316,322,317,323,317,323,316,323,317,323,316,324,315,323,316,323,316,323,316,323,316,323,316,323,316,323,315,322,315,323,312,323,312,321,310,321,311,321,311,321,311,321,311,321,311,322,311,322,311,322,309,322,308,321,309,321,309,320,309,321,310,322,311,322,311,321,311,321,311,320,311,320,311,320,312,320,311,321,312,320,311,320,309,320,309,320,308,320,308,320,308,320,308,320,309,320,309,321,309,321,310,321,311
37,340,309,340,308,339,308,338,310,339,311,340,311,340,310,340,311,339,310,339,309,339,309,339,310,339,310,339,310,339,310,339,310,339,309,338,309,339,305,339,305,338,303,338,304,337,304,337,304,337,304,337,304,338,303,338,304,338,301,338,301,337,301,336,302,336,302,337,303,337,304,337,304,336,304,336,304,336,304,335,304,335,305,336,304,336,304,336,304,336,301,336,301,335,301,336,301,336,301,336,301,336,302,336,302,337,303,337,304,336,305
0,356,310,357,309,355,309,355,311,355,312,356,312,357,311,356,312,356,311,356,310,356,311,355,311,355,311,355,311,355,311,355,311,355,310,354,310,356,306,355,306,355,303,354,305,354,305,354,305,354,305,354,305,354,304,354,304,354,302,354,301,353,302,353,303,352,303,353,303,353,304,353,304,352,305,352,305,352,305,352,305,351,306,352,305,352,305,352,305,352,302,353,302,352,301,352,301,352,301,353,301,353,303,353,303,353,304,353,305,352,306
267,372,307,373,306,372,306,371,308,371,309,373,308,373,308,372,308,372,308,372,307,372,307,371,308,371,308,371,308,371,308,371,308,370,307,370,307,372,303,371,303,371,301,371,302,370,302,371,302,370,302,370,302,370,301,370,301,370,299,370,299,369,299,369,300,368,300,369,301,369,302,369,302,368,302,368,302,368,302,368,302,367,303,368,302,368,303,368,302,368,299,369,299,368,298,369,299,369,298,369,298,369,300,369,300,369,301,369,302,368,303
269,389,311,390,310,389,310,388,312,388,313,389,312,390,312,389,313,389,312,388,311,388,312,388,312,388,312,387,312,387,312,387,312,387,311,387,311,388,308,387,308,388,306,387,307,387,307,387,307,387,307,387,307,387,306,387,306,386,305,386,304,385,305,385,305,384,306,385,307,385,308,385,307,384,308,385,308,385,307,385,308,384,309,385,308,385,308,385,308,385,305,385,305,385,304,385,304,385,303,385,303,386,304,386,305,386,305,386,306,385,307
270,399,317,400,316,399,316,398,318,399,319,399,318,400,318,399,319,399,318,399,317,398,317,398,318,398,318,397,318,397,317,397,318,397,317,397,317,398,314,397,315,397,313,397,314,397,315,397,315,397,314,397,315,396,314,396,314,395,313,395,312,394,313,395,314,393,314,394,315,394,315,394,315,394,316,394,315,394,315,394,315,393,316,394,316,394,316,394,316,394,312,395,312,395,311,394,311,395,311,395,311,396,311,396,312,396,312,396,312,395,313
409,407,321,407,321,407,321,405,323,406,323,407,323,408,323,407,323,407,323,406,322,406,322,406,323,405,323,405,323,405,322,405,322,405,322,405,322,405,321,404,321,404,320,404,321,404,321,404,321,404,321,404,321,403,321,403,321,402,320,402,319,400,320,401,321,400,322,401,322,401,323,401,323,400,323,401,322,401,322,401,322,400,323,401,323,401,323,400,323,401,320,401,319,402,318,402,318,402,317,402,317,404,318,403,318,404,317,404,318,403,318
291,412,327,411,327,410,328,409,329,410,330,411,329,412,329,411,329,411,329,411,328,410,328,410,329,409,329,409,329,409,328,409,328,409,328,409,328,409,328,408,329,409,329,408,330,408,330,408,330,408,330,408,330,408,329,407,329,406,329,406,328,405,330,406,330,404,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,332,405,329,406,328,406,327,406,327,406,326,406,326,408,326,408,325,408,324,408,325,407,324
