Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
375,335,343,336,343,336,343,336,344,336,343,336,343,337,344,336,344,336,344,335,344,335,344,333,345,334,346,334,346,334,346,334,345,334,346,334,346,334,347,334,348,333,347,333,348,332,347,333,347,333,347,333,348,332,348,332,348,331,348,331,348,331,347,331,347,331,347,332,347,332,347,332,347,333,346,332,346,333,347,332,346,334,347,333,347,335,347,337,347,336,346,337,346,335,345,336,344,335,344,335,344,334,345,335,345,333,344
291,338,335,339,334,339,334,339,335,340,334,340,334,340,334,339,334,339,335,339,335,338,335,336,336,337,337,337,337,337,337,337,336,337,337,337,337,337,337,337,338,336,338,337,338,336,338,336,337,336,337,336,338,335,338,335,338,335,339,335,339,334,338,335,338,335,337,335,338,336,337,336,338,336,337,336,338,336,338,336,337,337,338,336,339,339,337,340,337,339,336,341,336,339,337,340,336,339,336,339,336,338,337,338,337,337,337
61,235,342,235,341,236,342,236,342,235,342,235,342,234,343,234,342,233,343,234,343,234,344,235,345,234,345,234,345,234,345,235,345,233,345,233,345,232,346,232,346,232,347,231,347,232,347,231,346,231,346,232,347,232,347,232,347,230,347,230,347,231,346,230,346,231,345,230,345,231,345,230,345,231,345,232,345,231,345,232,345,233,346,233,347,233,346,233,347,232,346,233,346,233,345,233,344,234,344,233,344,233,344,233,344,233,345
185,239,335,239,334,239,334,239,335,239,334,238,334,238,335,238,335,237,335,238,335,237,336,238,338,237,337,237,337,238,337,238,337,236,337,237,337,236,338,236,338,236,339,235,339,235,339,234,338,235,338,235,338,235,339,235,339,234,339,234,339,234,338,234,338,234,338,234,338,234,338,234,338,235,338,235,338,235,338,235,338,236,339,236,340,236,338,237,339,236,338,237,338,237,339,237,338,237,338,237,338,236,338,236,338,236,339
40,245,329,245,328,246,328,246,329,246,328,245,328,245,329,245,328,244,329,244,329,243,330,244,331,244,331,244,331,244,331,245,331,243,331,243,331,242,331,242,332,242,332,242,333,242,332,241,332,242,331,242,332,242,333,241,333,240,333,240,333,241,333,240,333,241,332,240,332,241,332,241,333,241,333,242,333,241,333,242,333,243,333,243,334,243,333,244,333,243,332,244,332,244,334,244,333,244,333,243,332,243,333,243,333,243,334
39,254,322,254,321,255,321,255,321,254,321,254,321,253,321,253,321,253,322,253,322,252,323,253,324,252,324,252,324,253,324,253,323,252,324,252,324,251,324,251,325,251,325,250,325,250,325,250,325,250,324,250,324,250,325,250,325,249,327,249,327,249,326,249,326,249,326,249,326,249,326,249,326,250,327,250,327,250,327,251,327,251,327,251,328,252,326,253,326,252,325,253,325,252,327,253,327,253,327,252,326,252,326,252,326,252,327
37,269,316,270,315,270,315,270,315,270,315,270,315,269,315,269,315,269,316,269,316,268,316,268,318,267,317,268,317,268,318,268,317,267,318,267,317,267,318,266,318,266,319,266,319,266,318,265,319,265,317,265,318,265,319,265,319,264,321,264,321,264,321,264,321,264,321,264,321,264,321,264,321,265,322,265,322,265,322,266,321,266,322,266,323,267,320,268,320,267,319,268,319,268,322,268,322,268,321,268,321,267,321,267,321,267,322
0,285,317,286,316,286,316,286,316,286,316,286,316,285,316,285,316,285,316,285,317,284,317,284,318,284,318,284,318,284,319,284,318,284,318,283,318,283,318,282,319,282,319,282,320,282,319,281,319,282,318,282,318,281,320,280,320,280,322,280,322,280,322,280,322,280,322,280,322,280,322,280,323,281,323,281,323,281,323,282,322,282,323,282,324,283,321,285,321,284,320,285,319,284,323,284,323,284,323,284,322,284,322,283,322,283,323
267,301,314,302,313,302,313,302,313,302,312,302,313,301,313,301,313,301,313,301,313,300,313,299,315,300,315,300,315,300,315,300,315,299,315,299,315,299,315,298,316,298,316,298,317,298,316,297,316,298,315,298,315,297,317,296,317,296,319,296,319,296,318,295,319,296,318,296,319,296,319,296,319,297,319,297,320,297,320,297,319,298,320,298,320,299,318,301,317,300,316,301,316,300,320,300,319,300,319,300,319,299,319,299,319,298,320
269,317,317,318,317,318,317,318,317,318,316,318,317,318,316,317,316,317,317,317,317,317,317,315,319,316,319,316,319,316,319,316,318,316,319,316,319,316,319,315,320,315,320,315,320,314,320,314,320,314,319,314,319,313,320,313,321,312,322,312,322,312,322,312,322,312,322,312,322,313,322,313,322,313,323,313,323,313,323,314,322,314,323,314,324,316,321,318,320,317,320,318,319,316,323,317,322,316,322,316,322,316,322,316,322,315,322
