Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90
375,331,328,331,329,330,329,330,328,331,329,330,329,329,329,330,329,330,329,330,329,330,330,329,331,329,331,329,331,329,330,329,330,329,330,329,330,328,330,329,330,328,330,329,330,329,331,329,330,330,328,330,329,331,327,331,327,332,325
291,334,321,334,321,333,321,334,320,334,321,333,321,333,321,333,321,333,321,333,321,333,321,331,322,332,321,332,321,332,321,332,321,332,321,332,321,331,321,332,321,331,322,331,321,332,322,332,322,333,319,333,320,335,319,334,319,335,318
61,235,329,235,330,235,330,235,329,235,330,235,330,235,330,235,329,235,329,235,329,235,329,236,330,235,329,235,329,235,329,235,329,235,328,234,328,235,328,235,329,235,329,234,328,235,330,235,329,235,328,234,328,234,328,235,328,234,328
185,238,322,238,323,238,322,238,322,237,322,238,323,238,322,238,322,238,321,238,321,237,321,239,321,238,320,238,320,238,320,238,321,238,320,237,320,238,320,238,321,238,320,237,320,238,321,238,321,238,320,237,320,237,321,238,321,237,321
40,244,316,244,316,244,316,244,316,244,316,244,316,244,315,244,315,244,314,244,314,243,314,245,314,244,313,244,314,243,314,243,314,243,314,243,314,243,314,243,314,243,314,243,314,244,314,244,314,244,313,243,313,243,315,244,315,244,316
39,252,310,252,309,252,308,252,308,252,308,252,308,252,307,252,307,252,307,252,307,251,306,252,306,251,305,252,306,251,306,251,307,251,307,251,307,251,307,251,307,251,307,251,306,251,306,252,306,252,306,251,306,252,307,252,307,252,309
37,267,304,267,303,266,301,267,301,266,302,266,302,266,301,266,300,266,300,266,300,265,300,266,299,265,299,265,299,265,300,265,301,265,301,265,301,265,301,265,301,265,301,265,300,266,300,266,300,266,299,266,299,266,301,266,301,266,303
0,282,304,282,303,281,302,282,302,282,302,281,302,281,301,281,301,281,301,281,300,281,301,281,300,280,300,280,300,280,301,280,301,280,301,280,301,280,302,280,302,280,301,280,301,281,300,281,300,281,300,281,299,281,301,281,302,282,304
267,297,301,297,300,296,299,297,299,297,299,296,299,296,298,296,298,296,298,296,297,296,298,296,297,295,297,295,297,295,298,295,298,295,298,295,298,295,299,295,299,295,298,295,298,296,298,296,298,296,297,296,296,296,298,296,299,296,301
269,313,305,313,304,312,303,312,303,312,303,312,303,311,302,312,302,312,302,312,302,312,302,311,301,311,301,311,301,311,302,311,302,311,302,311,302,310,303,311,303,310,302,311,302,311,302,311,302,312,300,312,300,312,302,312,302,313,304
