Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128,Coordinate 129,Coordinate 130,Coordinate 131,Coordinate 132,Coordinate 133,Coordinate 134,Coordinate 135,Coordinate 136,Coordinate 137,Coordinate 138,Coordinate 139,Coordinate 140,Coordinate 141,Coordinate 142,Coordinate 143,Coordinate 144
409,450,310,450,311,449,312,450,312,449,313,449,313,449,312,449,312,450,313,450,313,452,313,450,313,451,314,451,314,451,315,451,316,452,315,452,316,451,316,451,315,450,315,450,316,448,316,449,316,449,313,449,313,450,313,449,313,449,313,450,313
291,453,316,453,317,452,318,454,319,452,320,453,320,452,320,452,320,453,321,453,321,455,322,454,321,454,323,454,322,454,324,454,324,455,324,455,324,454,324,455,323,453,323,453,324,451,324,452,325,452,321,452,321,453,321,452,321,452,320,454,319
78,358,318,360,319,358,320,358,321,360,322,360,323,360,322,360,322,364,323,363,323,365,324,365,323,367,324,367,324,368,326,369,326,368,326,368,327,366,326,366,326,365,326,366,326,366,326,365,326,366,323,366,323,365,322,365,322,365,321,364,320
95,365,322,366,323,365,326,365,327,367,328,367,329,367,328,367,329,370,330,370,329,372,333,371,331,373,332,373,332,375,333,375,334,375,335,374,335,372,334,372,334,372,334,373,334,372,333,371,333,372,331,372,330,371,329,371,328,371,325,370,325
88,371,324,372,325,371,329,371,330,372,331,372,332,372,332,372,332,375,333,375,332,377,337,376,336,378,336,378,336,380,337,380,338,380,339,379,340,377,339,377,339,377,338,378,338,377,337,376,337,377,334,377,334,377,332,377,331,376,327,375,327
178,380,326,381,327,380,331,380,332,381,334,381,334,381,334,381,335,384,336,384,334,385,341,385,339,386,340,387,340,388,340,388,342,388,343,388,345,385,344,385,343,385,343,386,343,385,341,385,340,385,338,385,338,385,334,385,334,384,329,384,329
87,391,328,392,328,391,333,391,334,392,336,392,336,392,336,392,337,394,338,394,336,396,344,395,342,396,343,397,343,398,344,398,345,398,345,398,347,396,347,396,347,395,345,396,345,395,344,395,342,395,341,395,340,395,336,395,336,395,330,395,330
14,405,329,405,329,404,334,404,335,405,337,405,337,405,337,405,337,407,339,407,337,409,345,408,343,409,344,410,343,410,344,410,346,411,347,411,349,409,348,409,348,408,346,409,346,408,345,407,343,408,342,408,341,408,337,408,337,407,330,407,331
317,417,327,417,327,417,332,417,333,417,335,418,335,418,335,418,335,419,337,419,335,422,343,421,341,422,342,422,341,422,342,422,344,423,345,423,347,421,345,422,346,421,344,421,344,420,343,420,341,420,340,420,339,420,335,419,335,419,329,419,329
402,427,325,427,325,427,330,427,331,427,332,427,333,427,333,427,333,429,334,429,332,431,340,430,338,430,339,430,338,431,339,431,340,432,341,432,342,430,342,431,342,430,341,430,341,429,339,428,338,429,336,429,336,429,333,429,332,428,327,429,327
318,435,322,435,323,434,327,435,327,435,329,435,329,435,329,435,329,436,331,436,329,438,335,437,333,437,334,437,334,437,335,437,336,438,336,439,337,437,337,437,337,436,336,436,336,435,335,435,334,435,332,436,332,436,329,435,329,435,325,436,325
324,440,320,439,321,439,324,440,324,439,326,439,326,439,326,439,326,440,327,440,326,442,330,440,329,441,330,441,330,441,331,440,331,442,332,442,332,441,332,441,332,440,331,440,332,438,331,439,331,439,328,439,328,440,326,439,326,439,323,441,323
308,445,315,445,316,444,318,446,318,444,319,444,320,444,319,444,319,445,320,445,320,447,321,445,321,445,322,445,322,446,323,445,323,447,323,447,323,445,323,446,323,445,323,445,323,443,323,443,323,443,320,444,321,445,320,444,320,444,319,446,318
78,358,318,360,319,358,320,358,321,360,322,360,323,360,322,360,322,364,323,363,323,365,324,365,323,367,324,367,324,369,326,369,326,368,326,368,327,366,326,366,325,366,326,366,326,366,326,365,326,366,323,366,323,365,322,365,322,365,321,364,320
191,365,314,367,316,365,316,365,317,367,318,367,318,367,318,367,318,370,318,370,318,372,318,372,318,373,318,374,318,375,320,376,320,375,321,374,321,373,320,372,320,372,320,373,321,373,320,372,321,373,317,373,318,372,318,372,317,372,317,371,317
80,373,313,374,315,373,314,373,315,375,316,375,316,375,316,375,316,378,316,377,316,379,315,379,315,380,316,381,316,382,318,382,318,382,318,382,318,380,318,380,318,379,318,380,319,380,318,379,319,379,315,380,315,379,316,379,315,379,316,378,315
81,382,312,383,314,382,313,382,314,383,315,383,315,383,314,384,314,386,314,386,315,387,313,387,313,388,314,389,314,390,316,390,316,390,317,390,317,388,316,388,316,387,316,388,317,388,317,387,317,387,313,387,313,387,314,387,314,387,315,386,314
82,393,312,393,314,392,313,392,314,393,314,394,314,393,314,394,314,395,313,396,314,397,312,397,312,398,313,398,313,399,314,399,315,400,316,400,316,398,315,398,316,397,315,398,316,397,316,396,316,397,312,397,312,397,313,397,313,397,314,396,314
13,405,312,405,314,404,313,404,314,405,314,405,314,405,313,405,313,407,313,407,313,409,311,408,312,409,313,409,313,410,314,410,314,411,315,411,315,408,316,409,315,408,315,409,316,408,315,407,316,408,312,408,312,408,313,408,313,407,314,407,314
312,416,311,416,313,415,312,415,313,416,313,416,313,416,313,416,313,417,312,417,313,419,311,418,312,419,312,419,312,420,314,420,314,421,315,421,315,419,315,419,315,418,315,419,315,417,315,417,315,418,311,418,312,418,313,418,312,417,313,417,313
