Landmark,Coordinate 1,Coordinate 2,Coordinate 3,Coordinate 4,Coordinate 5,Coordinate 6,Coordinate 7,Coordinate 8,Coordinate 9,Coordinate 10,Coordinate 11,Coordinate 12,Coordinate 13,Coordinate 14,Coordinate 15,Coordinate 16,Coordinate 17,Coordinate 18,Coordinate 19,Coordinate 20,Coordinate 21,Coordinate 22,Coordinate 23,Coordinate 24,Coordinate 25,Coordinate 26,Coordinate 27,Coordinate 28,Coordinate 29,Coordinate 30,Coordinate 31,Coordinate 32,Coordinate 33,Coordinate 34,Coordinate 35,Coordinate 36,Coordinate 37,Coordinate 38,Coordinate 39,Coordinate 40,Coordinate 41,Coordinate 42,Coordinate 43,Coordinate 44,Coordinate 45,Coordinate 46,Coordinate 47,Coordinate 48,Coordinate 49,Coordinate 50,Coordinate 51,Coordinate 52,Coordinate 53,Coordinate 54,Coordinate 55,Coordinate 56,Coordinate 57,Coordinate 58,Coordinate 59,Coordinate 60,Coordinate 61,Coordinate 62,Coordinate 63,Coordinate 64,Coordinate 65,Coordinate 66,Coordinate 67,Coordinate 68,Coordinate 69,Coordinate 70,Coordinate 71,Coordinate 72,Coordinate 73,Coordinate 74,Coordinate 75,Coordinate 76,Coordinate 77,Coordinate 78,Coordinate 79,Coordinate 80,Coordinate 81,Coordinate 82,Coordinate 83,Coordinate 84,Coordinate 85,Coordinate 86,Coordinate 87,Coordinate 88,Coordinate 89,Coordinate 90,Coordinate 91,Coordinate 92,Coordinate 93,Coordinate 94,Coordinate 95,Coordinate 96,Coordinate 97,Coordinate 98,Coordinate 99,Coordinate 100,Coordinate 101,Coordinate 102,Coordinate 103,Coordinate 104,Coordinate 105,Coordinate 106,Coordinate 107,Coordinate 108,Coordinate 109,Coordinate 110,Coordinate 111,Coordinate 112,Coordinate 113,Coordinate 114,Coordinate 115,Coordinate 116,Coordinate 117,Coordinate 118,Coordinate 119,Coordinate 120,Coordinate 121,Coordinate 122,Coordinate 123,Coordinate 124,Coordinate 125,Coordinate 126,Coordinate 127,Coordinate 128
375,427,325,428,325,426,324,425,325,426,326,426,327,427,327,427,327,425,328,426,328,425,328,425,328,426,330,426,329,426,328,426,328,427,328,426,328,427,328,426,329,427,329,427,328,428,327,428,326,429,325,428,325,428,324,428,325,427,323,427,324,427,323,427,324,427,322,428,322,428,321
291,430,317,432,317,429,317,429,318,429,318,429,318,430,318,430,318,428,319,428,319,427,320,427,320,428,320,428,320,429,319,429,319,429,319,429,318,429,319,429,319,429,319,430,319,431,317,431,317,432,317,431,317,431,316,431,316,430,315,431,315,430,315,431,316,430,315,431,315,432,314
61,330,322,330,321,333,322,332,322,334,324,332,323,331,324,331,324,333,324,334,325,334,326,335,325,332,325,334,326,334,324,334,324,333,324,334,324,333,324,333,325,333,326,333,325,331,324,331,323,330,323,330,323,331,322,330,322,331,321,331,322,330,321,330,321,331,320,331,321,330,320
185,334,316,334,315,336,316,336,315,337,316,336,316,335,316,335,316,337,317,337,317,338,318,338,317,336,317,338,318,337,316,337,316,337,316,337,316,337,316,337,317,337,317,337,317,335,316,335,315,334,316,334,315,334,315,334,315,334,314,335,314,334,314,334,314,334,314,334,314,334,314
40,341,310,341,310,343,311,343,310,344,310,343,310,342,310,342,310,343,310,343,311,344,311,344,311,342,311,344,311,343,310,343,310,343,310,343,310,343,310,343,310,343,311,343,311,342,309,342,309,341,310,341,310,341,309,341,309,341,308,341,308,341,308,341,309,341,309,341,309,341,309
39,350,304,351,304,352,304,351,304,352,303,351,303,351,302,351,303,351,303,352,303,352,304,352,303,351,304,352,304,351,304,352,303,351,303,352,303,351,303,351,303,352,304,352,304,351,302,351,302,350,303,350,303,350,302,350,302,350,301,350,302,350,302,350,302,350,303,350,302,350,303
37,366,299,366,299,367,299,366,298,367,297,366,297,366,296,366,296,366,297,366,297,366,298,367,297,365,298,367,298,366,298,366,297,366,298,366,298,366,297,366,298,367,297,367,297,366,296,366,296,366,297,365,297,366,297,365,297,365,295,365,296,365,296,365,297,365,297,365,297,366,297
0,381,300,382,300,382,300,381,300,382,298,381,298,381,297,381,297,381,298,381,298,381,299,381,298,380,299,382,299,381,299,381,298,381,299,381,299,381,298,381,299,382,298,382,298,381,297,381,297,381,298,381,298,381,298,381,298,380,296,381,297,380,297,381,298,380,298,381,298,381,299
267,396,297,397,297,396,297,396,297,397,295,396,295,396,295,396,295,395,295,396,295,395,296,396,295,395,297,396,296,396,296,396,296,396,296,396,296,396,296,396,296,397,295,397,296,396,294,396,294,397,295,396,295,396,295,396,295,396,294,396,294,395,294,396,295,395,296,396,295,396,296
269,411,301,412,301,411,301,410,301,411,300,411,300,411,299,411,299,410,300,411,299,410,301,410,300,410,301,411,301,411,300,411,300,411,300,411,300,411,300,411,300,411,300,411,300,411,298,411,298,412,299,411,299,411,299,411,299,411,298,411,298,411,298,411,299,411,299,411,299,412,299
